Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
645410,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
652373,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,06,A2,
652420,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,06,7E,
652681,00000410,false,Rx,0,8,37,00,AA,31,00,FF,06,55,
652957,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
653243,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,06,06,
656339,00000231,false,Rx,0,8,00,01,00,00,00,00,0E,0F,
656392,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
667389,00000231,false,Rx,0,8,00,01,00,00,00,00,0F,0E,
667404,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
673396,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,07,A3,
673440,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,07,7F,
673703,00000410,false,Rx,0,8,37,00,AA,31,00,FF,07,54,
673956,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
674244,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,07,07,
678332,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
678385,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
689376,00000231,false,Rx,0,8,00,01,00,00,00,00,01,00,
689391,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
694379,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,08,AC,
694437,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,08,70,
694650,00000410,false,Rx,0,8,37,00,AA,31,00,FF,08,5B,
694943,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
695244,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,08,08,
700148,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
700389,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
711138,00000231,false,Rx,0,8,00,01,00,00,00,00,04,05,
711366,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
715164,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,09,AD,
715414,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,09,71,
715666,00000410,false,Rx,0,8,37,00,AA,31,00,FF,09,5A,
715966,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
716214,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,09,09,
718166,00000332,false,Rx,0,8,01,00,00,00,00,00,0E,0F,
718419,00000530,false,Rx,0,8,FF,FF,79,84,27,11,D2,00,
722116,00000231,false,Rx,0,8,00,01,00,00,00,00,05,04,
722392,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
733092,00000231,false,Rx,0,8,00,01,00,00,00,00,06,07,
733363,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
736148,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0A,AE,
736366,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0A,72,
736640,00000410,false,Rx,0,8,37,00,AA,40,00,FF,0A,28,
736916,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
737188,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0A,0A,
744089,00000231,false,Rx,0,8,00,01,00,00,00,00,07,06,
744363,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
755086,00000231,false,Rx,0,8,00,01,00,00,00,00,08,09,
755362,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
757144,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0B,AF,
757389,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0B,73,
757640,00000410,false,Rx,0,8,37,00,AA,40,00,FF,0B,29,
757917,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
758275,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0B,0B,
766084,00000231,false,Rx,0,8,00,01,00,00,00,00,09,08,
766359,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
777094,00000231,false,Rx,0,8,00,01,00,00,00,00,0A,0B,
777357,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
778131,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0C,A8,
778383,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0C,74,
778654,00000410,false,Rx,0,8,37,00,AA,40,00,FF,0C,2E,
778959,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
779228,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0C,0C,
788100,00000231,false,Rx,0,8,00,01,00,00,00,00,0B,0A,
788476,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
799161,00000231,false,Rx,0,8,00,01,00,00,00,00,0C,0D,
799434,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0D,A9,
799709,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0D,75,
799985,00000410,false,Rx,0,8,37,00,AA,40,00,FF,0D,2F,
800256,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
800532,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0D,0D,
800807,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
810099,00000231,false,Rx,0,8,00,01,00,00,00,00,0E,0F,
810360,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
819333,00000332,false,Rx,0,8,01,00,00,00,00,00,0F,0E,
819378,00000530,false,Rx,0,8,FF,FF,79,84,27,11,D2,00,
820395,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0E,AA,
820434,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0E,76,
820698,00000410,false,Rx,0,8,37,00,AA,41,00,FF,0E,2D,
821021,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
821232,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0E,0E,
821839,00000231,false,Rx,0,8,00,01,00,00,00,00,0E,0F,
821853,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
832333,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
832378,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
841426,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0F,AB,
841441,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0F,77,
841654,00000410,false,Rx,0,8,37,00,AA,41,00,FF,0F,2C,
841945,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
842303,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0F,0F,
843385,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
843399,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
854339,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
854385,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
862385,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,00,A4,
